epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,61.2246,0.6501,2.81176,0.99487,0.98013,0.9057,0.95318,0.65993,0.7151,3.71839,1.04648,0.00291474,0.00291474,0.00291474
56,62.3046,0.65133,2.97507,0.99383,0.95389,0.94032,0.96359,0.68251,0.72612,3.20185,1.05646,0.00291159,0.00291159,0.00291159
57,63.4006,0.63595,3.18021,0.98971,0.99104,0.85881,0.95557,0.69361,0.69769,3.23232,1.03289,0.00290838,0.00290838,0.00290838
58,64.5616,0.61943,2.9435,0.95504,0.95315,0.93758,0.96334,0.69705,0.6855,3.20152,1.04196,0.00290511,0.00290511,0.00290511
59,65.6526,0.62121,2.87252,0.98378,0.87947,0.89638,0.96241,0.69873,0.67231,3.43586,1.04434,0.00290179,0.00290179,0.00290179
60,66.7446,0.62968,3.07849,0.98179,0.98197,0.94399,0.9698,0.68723,0.7045,3.07923,1.06652,0.00289841,0.00289841,0.00289841
61,67.8336,0.60627,2.7031,0.96788,0.97052,0.90909,0.95863,0.6475,0.76076,3.16938,1.11228,0.00289498,0.00289498,0.00289498
62,68.9036,0.58758,2.79171,0.98239,0.97052,0.90909,0.95863,0.6475,0.76076,3.16938,1.11228,0.00289149,0.00289149,0.00289149
63,69.9831,0.62893,2.94197,0.96559,0.98847,0.91168,0.95853,0.66006,0.75894,3.28918,1.10501,0.00288795,0.00288795,0.00288795
64,71.0551,0.65837,2.9322,0.99897,0.99318,0.91657,0.95505,0.67064,0.74575,3.30333,1.10705,0.00288436,0.00288436,0.00288436
65,72.1341,0.61958,2.74256,0.95202,0.99068,0.89563,0.95678,0.6924,0.71412,3.22029,1.07816,0.00288071,0.00288071,0.00288071
66,73.2101,0.60645,2.77416,0.96482,0.9727,0.89979,0.95773,0.67454,0.7024,3.34497,1.07008,0.002877,0.002877,0.002877
